UP,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos ou mais,Total por cidade
Abreu e Lima,7381,6631,5885,5009,3796,2691,3316,38025
Afogados da Ingazeira,2600,2199,2181,1727,1501,1224,1829,15090
Afrânio,1262,1064,946,761,547,544,816,6756
Agrestina,1604,1416,1231,949,766,695,1075,8811
Água Preta,1729,1564,1374,1078,877,647,889,9047
Águas Belas,2352,1913,1851,1503,1344,1142,1730,13565
Alagoinha,872,813,843,646,514,391,763,5605
Aliança,2361,2081,1979,1733,1372,1022,1373,13294
Altinho,1422,1307,1219,1037,816,672,1177,8827
Amaraji,1299,1151,941,797,614,464,639,6544
Angelim,669,542,480,480,380,312,550,3963
Araçoiaba,1189,1043,915,752,548,396,514,5871
Araripina,4885,4452,4023,3083,2318,1929,3410,27510
Arcoverde,4831,4235,3936,3250,2349,1996,3204,27005
Barra de Guabiraba,803,670,578,507,372,267,432,4061
Barreiros,2567,2300,2098,1656,1245,880,1319,13384
Belém de Maria,673,594,523,471,376,276,465,3843
Belém do São Francisco,1132,1034,899,749,566,465,773,6391
Belo Jardim,4966,4443,4126,3438,2561,2011,3259,28063
Betânia,694,597,601,414,404,364,630,4334
Bezerros,4400,3941,3470,2961,2292,2031,3262,25619
Bodocó,2075,1766,1703,1319,1082,913,1487,11832
Bom Conselho,2828,2394,2247,1862,1598,1303,2207,16646
Bom Jardim,2546,2296,2042,1710,1406,1217,1900,15017
Bonito,2422,2184,1979,1580,1329,985,1569,13617
Brejão,608,471,429,361,264,254,385,3157
Brejinho,494,477,440,325,272,219,415,3057
Brejo da Madre de Deus,3068,2565,2167,1676,1381,1136,1793,15579
Buenos Aires,788,706,682,573,469,377,469,4533
Buíque,3012,2665,2421,2080,1592,1341,2254,17619
Cabo de Santo Agostinho,14731,12809,10924,9042,6849,4728,5820,70723
Cabrobó,1956,1630,1467,1186,861,682,1120,10022
Cachoeirinha,1238,1216,1100,885,653,511,1046,7695
Caetés,1718,1371,1342,1101,889,759,1211,9602
Calçado,737,591,611,482,359,313,504,4101
Calumbi,348,323,268,206,206,155,270,2046
Camaragibe,11544,10473,8597,7020,5348,4050,5389,57810
Camocim de São Félix,1077,1075,976,788,638,485,828,6695
Camutanga,522,542,410,332,302,232,377,3094
Canhotinho,1533,1322,1186,1019,837,694,1073,8737
Capoeiras,1094,968,1012,755,640,542,883,6777
Carnaíba,1278,1142,1133,841,673,579,943,7532
Carnaubeira da Penha,644,508,502,379,344,285,484,3630
Carpina,5786,5256,4521,3761,3044,2138,2875,30256
Caruaru,25224,22448,19276,15132,10817,8345,12749,126740
Casinhas,753,681,645,572,454,363,645,4758
Catende,2034,1946,1745,1471,1133,881,1250,11710
Cedro,594,551,542,412,312,248,491,3641
Chã de Alegria,818,688,621,486,419,328,437,4234
Chã Grande,1442,1146,971,909,654,552,915,7504
Condado,1668,1455,1328,1093,814,695,985,9023
Correntes,991,846,756,776,599,494,722,5906
Cortês,707,629,554,453,352,251,310,3566
Cumaru,1083,951,957,772,663,519,895,6735
Cupira,1534,1320,1115,997,866,763,1071,8737
Custódia,2304,2073,2034,1667,1319,1102,1847,14193
Dormentes,1154,1003,960,756,588,510,792,6555
Escada,4072,3575,3328,2589,1863,1330,2089,20935
Exu,1955,1781,1620,1357,1054,888,1620,11895
Feira Nova,1500,1236,1192,891,835,609,920,8103
Fernando de Noronha,250,211,198,136,62,37,56,1006
Ferreiros,1018,887,828,653,563,466,722,5859
Flores,1337,1238,1211,1009,841,667,1250,8803
Floresta,1798,1532,1295,1004,777,721,1131,9389
Frei Miguelinho,928,779,782,663,546,542,909,6058
Gameleira,1208,1050,957,791,601,458,620,6305
Garanhuns,9289,8073,7120,5726,4628,3886,5509,49740
Glória do Goitá,1912,1592,1496,1255,951,802,1181,10370
Goiana,5861,5004,4554,3554,2766,1949,2826,29340
Granito,446,390,367,273,197,185,390,2638
Gravatá,6122,5414,4780,4028,3057,2492,3860,33613
Iati,1006,882,806,726,613,495,752,6032
Ibimirim,1462,1363,1250,1143,849,688,995,8745
Ibirajuba,468,423,415,314,260,245,472,3069
Igarassu,8289,7824,6337,5041,3782,2607,3523,40926
Iguaracy,716,702,737,608,478,394,630,4895
Ilha de Itamaracá,1683,1538,1354,1175,827,629,674,8554
Inajá,1261,1119,886,856,566,462,612,6374
Ingazeira,284,298,290,260,176,175,236,1955
Ipojuca,6243,5390,4257,3334,2277,1640,2092,27325
Ipubi,1677,1344,1250,953,736,639,1076,8751
Itacuruba,258,204,222,164,105,108,145,1351
Itaíba,2191,1869,1562,1438,1017,896,1176,11325
Itambé,2164,1982,1695,1417,1175,914,1388,12123
Itapetim,884,843,839,669,620,522,872,6121
Itapissuma,1770,1503,1163,1005,762,547,668,8086
Itaquitinga,1047,891,807,658,477,374,534,5322
Jaboatão dos Guararapes,47313,43292,37313,31467,23721,16957,21488,243039
Jaqueira,640,560,543,393,300,243,365,3409
Jataúba,924,840,809,700,500,445,754,5726
Jatobá,906,777,737,651,511,393,575,5125
João Alfredo,1853,1564,1459,1321,1112,950,1463,11185
Joaquim Nabuco,882,759,740,504,374,307,406,4378
Jucati,720,636,533,414,371,352,513,4052
Jupi,912,817,763,611,484,445,645,5322
Jurema,826,718,720,600,518,408,732,5254
Lagoa de Itaenga,1265,1060,1025,848,673,526,681,6759
Lagoa do Carro,1318,1065,941,752,598,483,599,6355
Lagoa do Ouro,828,689,630,499,437,392,559,4593
Lagoa dos Gatos,931,748,785,639,491,445,695,5429
Lagoa Grande,1438,1199,1099,872,574,505,765,7217
Lajedo,2486,2040,1906,1620,1325,1106,1837,14157
Limoeiro,4091,3599,3321,2704,2243,1816,2767,23308
Macaparana,1482,1296,1219,1016,936,659,1118,8844
Machados,678,608,530,429,352,332,532,3993
Manari,1128,990,822,687,571,453,693,6037
Maraial,595,499,468,405,327,223,333,3183
Mirandiba,844,718,663,519,450,363,565,4687
Moreilândia,631,616,567,457,353,283,620,4147
Moreno,3807,3671,3343,2635,2100,1423,2057,21093
Nazaré da Mata,2169,2052,1816,1527,1327,957,1367,12582
Olinda,25835,25058,22401,19215,14617,11406,16250,151032
Orobó,1344,1276,1199,1018,877,621,1198,8731
Orocó,850,708,605,439,333,275,445,4100
Ouricuri,3864,3530,3288,2394,1922,1616,2906,22426
Palmares,3715,3391,2985,2492,1868,1413,1981,19826
Palmeirina,472,417,368,309,282,207,377,2809
Panelas,1393,1170,1152,1031,831,849,1256,8938
Paranatama,757,717,641,532,441,365,627,4707
Parnamirim,1193,1084,1004,829,619,575,947,7198
Passira,1919,1704,1713,1423,1021,823,1345,11293
Paudalho,3938,3548,2842,2324,1843,1320,1813,19441
Paulista,25508,23236,20390,17767,14075,10216,11399,133990
Pedra,1423,1218,1192,937,719,604,1025,8143
Pesqueira,3960,3649,3517,2913,2291,1756,2917,23920
Petrolândia,2132,1701,1604,1282,964,738,1124,10669
Petrolina,25011,20309,16523,12476,8833,6675,9742,109311
Poção,656,586,623,527,383,338,483,4079
Pombos,1858,1651,1513,1220,992,698,1089,10110
Primavera,991,758,711,575,417,331,410,4603
Quipapá,1045,977,912,806,561,485,820,6426
Quixaba,439,363,330,294,259,202,295,2477
Recife,105430,100962,93575,81917,63441,47650,70650,634275
Riacho das Almas,1488,1167,1088,933,687,675,1001,8040
Ribeirão,2297,2284,2031,1616,1223,904,1319,12993
Rio Formoso,1287,1152,1029,747,527,386,486,6100
Sairé,839,780,618,588,417,376,660,4938
Salgadinho,408,326,293,280,242,199,391,2530
Salgueiro,4016,3543,3019,2319,1833,1443,2304,20781
Saloá,920,796,710,590,537,450,796,5595
Sanharó,1178,1033,1014,846,626,525,833,6888
Santa Cruz,842,810,725,536,422,447,709,5200
Santa Cruz da Baixa Verde,705,624,612,490,405,337,539,4251
Santa Cruz do Capibaribe,6254,4919,3872,2870,2050,1568,2281,26095
Santa Filomena,807,653,593,552,444,384,685,4803
Santa Maria da Boa Vista,2464,2035,1771,1387,1045,851,1311,12175
Santa Maria do Cambucá,947,770,682,542,463,395,660,5119
Santa Terezinha,662,512,568,485,358,330,486,3887
São Benedito do Sul,806,651,593,512,451,354,488,4343
São Bento do Una,2915,2527,2352,2004,1646,1323,2021,16809
São Caitano,2464,2116,1926,1513,1164,963,1615,13376
São João,1548,1305,1086,862,743,616,989,8138
São Joaquim do Monte,1274,1142,1085,938,704,547,981,7652
São José da Coroa Grande,1152,992,994,801,591,427,546,6049
São José do Belmonte,2181,1878,1793,1457,1249,990,1700,12948
São José do Egito,2027,1888,1791,1464,1217,1063,1845,13140
São Lourenço da Mata,8179,7004,5944,5019,3665,2647,3314,39086
São Vicente Férrer,1102,912,863,673,512,401,661,5785
Serra Talhada,6080,5226,4568,3558,2862,2282,3842,32260
Serrita,1130,964,886,745,625,475,924,6673
Sertânia,2073,1882,1915,1600,1322,1022,1639,13092
Sirinhaém,2535,2029,1658,1316,996,712,931,11108
Solidão,305,293,295,198,186,184,252,1965
Surubim,4331,3588,3293,2659,2236,1980,3010,24107
Tabira,1702,1485,1451,1141,1055,844,1416,10510
Tacaimbó,877,727,719,592,459,391,630,5025
Tacaratu,1293,1151,1119,904,741,648,981,7818
Tamandaré,1412,1212,1083,886,648,504,606,6957
Taquaritinga do Norte,1604,1376,1207,981,799,633,1016,8632
Terezinha,406,343,349,271,250,204,305,2433
Terra Nova,649,529,423,417,291,236,425,3395
Timbaúba,3048,2857,2608,2304,1847,1451,2183,18481
Toritama,2479,1827,1523,1116,771,569,837,9959
Tracunhaém,913,846,706,555,429,346,446,4687
Trindade,1655,1466,1254,998,752,659,1037,8858
Triunfo,980,958,899,721,610,502,954,6578
Tupanatinga,1529,1248,1076,944,829,624,993,8236
Tuparetama,518,507,492,358,294,292,506,3473
Venturosa,1112,938,914,742,549,443,729,6156
Verdejante,561,465,476,416,355,241,471,3456
Vertente do Lério,477,428,385,364,309,261,444,3112
Vertentes,1342,1181,1049,843,664,579,989,7636
Vicência,1682,1655,1482,1225,850,687,895,9371
Vitória de Santo Antão,9458,8514,7387,5907,4592,3555,5076,49565
Xexéu,776,742,616,514,357,270,369,4013
