,UP,Total por cidade,Até 1/4 de salário mínimo,Mais de 1/4 a 1/2 salário mínimo,Mais de 1/2 a 1 salário mínimo,Mais de 1 a 2 salários mínimos,Mais de 2 a 3 salários mínimos,Mais de 3 a 5 salários mínimos,Mais de 5 salários mínimos,Sem rendimento claro,Sem renda clara
0,Abreu e Lima,34270,2565,7290,11919,7352,2180,1625,1321,13,5
1,Afogados da Ingazeira,12793,957,2721,4449,2744,813,606,493,5,5
2,Afrânio,6223,465,1323,2164,1335,395,295,239,2,5
3,Agrestina,6396,478,1360,2224,1372,406,303,246,2,5
4,Água Preta,5605,419,1192,1949,1202,356,265,216,2,4
5,Águas Belas,8625,645,1834,2999,1850,548,409,332,3,5
6,Alagoinha,3893,291,828,1354,835,247,184,150,1,3
7,Aliança,9534,713,2028,3316,2045,606,452,367,3,4
8,Altinho,4462,334,949,1551,957,283,211,172,1,4
9,Amaraji,4068,304,865,1414,872,258,192,156,1,6
10,Angelim,2506,187,533,871,537,159,118,96,1,4
11,Araçoiaba,5499,411,1169,1912,1179,349,260,212,2,5
12,Araripina,26597,1991,5658,9250,5706,1692,1261,1025,10,4
13,Arcoverde,22646,1695,4817,7876,4858,1440,1074,873,9,4
14,Barra de Guabiraba,2899,217,616,1008,621,184,137,111,1,4
15,Barreiros,10811,809,2299,3760,2319,687,512,416,4,5
16,Belém de Maria,2575,192,547,895,552,163,122,99,1,4
17,Belém do São Francisco,4705,352,1000,1636,1009,299,223,181,1,4
18,Belo Jardim,21691,1624,4614,7544,4653,1380,1028,836,8,4
19,Betânia,2728,204,580,948,585,173,129,105,1,3
20,Bezerros,18451,1381,3925,6417,3958,1173,875,711,7,4
21,Bodocó,9243,692,1966,3214,1983,588,438,356,3,3
22,Bom Conselho,11500,861,2446,3999,2467,731,545,443,4,4
23,Bom Jardim,10032,751,2134,3489,2152,638,475,386,4,3
24,Bonito,9539,714,2029,3317,2046,606,452,367,3,5
25,Brejão,2164,162,460,752,464,137,102,83,0,4
26,Brejinho,2644,197,562,919,567,168,125,101,1,4
27,Brejo da Madre de Deus,13373,1001,2844,4651,2869,850,634,515,5,4
28,Buenos Aires,3169,237,674,1102,679,201,150,122,1,3
29,Buíque,14131,1058,3006,4915,3031,899,670,544,5,3
30,Cabo de Santo Agostinho,76935,5760,16366,26759,16506,4894,3649,2967,31,3
31,Cabrobó,8757,655,1862,3045,1878,557,415,337,3,5
32,Cachoeirinha,5825,436,1239,2026,1249,370,276,224,2,3
33,Caetés,7352,550,1564,2557,1577,467,348,283,2,4
34,Calçado,2927,219,622,1018,627,186,138,112,1,4
35,Calumbi,1211,90,257,421,259,77,57,46,0,4
36,Camaragibe,54286,4064,11548,18881,11647,3453,2574,2093,21,5
37,Camocim de São Félix,4785,358,1017,1664,1026,304,226,184,1,5
38,Camutanga,2195,164,466,763,470,139,104,84,0,5
39,Canhotinho,5355,400,1139,1862,1148,340,253,206,2,5
40,Capoeiras,4113,307,874,1430,882,261,195,158,1,5
41,Carnaíba,5907,442,1256,2054,1267,375,280,227,2,4
42,Carnaubeira da Penha,3028,226,644,1053,649,192,143,116,1,4
43,Carpina,27430,2053,5835,9540,5885,1745,1301,1057,11,3
44,Caruaru,131322,9832,27936,45676,28175,8354,6228,5064,53,4
45,Casinhas,2734,204,581,950,586,173,129,105,1,5
46,Catende,6886,515,1464,2395,1477,438,326,265,2,4
47,Cedro,2914,218,619,1013,625,185,138,112,1,3
48,Chã de Alegria,3167,237,673,1101,679,201,150,122,1,3
49,Chã Grande,5563,416,1183,1934,1193,353,263,214,2,5
50,Condado,6919,518,1471,2406,1484,440,328,266,2,4
51,Correntes,3220,241,685,1119,690,204,152,124,1,4
52,Cortês,2573,192,547,894,552,163,122,99,1,3
53,Cumaru,3880,290,825,1349,832,246,184,149,1,4
54,Cupira,5219,390,1110,1815,1119,332,247,201,2,3
55,Custódia,11676,874,2483,4061,2505,742,553,450,4,4
56,Dormentes,6193,463,1317,2154,1328,394,293,238,2,4
57,Escada,16402,1228,3489,5704,3519,1043,777,632,6,4
58,Exu,9647,722,2052,3355,2069,613,457,372,3,4
59,Feira Nova,6055,453,1288,2106,1299,385,287,233,2,2
60,Fernando de Noronha,1756,131,373,610,376,111,83,67,0,5
61,Ferreiros,6894,516,1466,2397,1479,438,326,265,2,5
62,Flores,5162,386,1098,1795,1107,328,244,199,2,3
63,Floresta,7419,555,1578,2580,1591,472,351,286,3,3
64,Frei Miguelinho,2968,222,631,1032,636,188,140,114,1,4
65,Gameleira,2618,196,556,910,561,166,124,100,1,4
66,Garanhuns,41814,3130,8895,14543,8971,2660,1983,1612,16,4
67,Glória do Goitá,7250,542,1542,2521,1555,461,343,279,2,5
68,Goiana,27277,2042,5802,9487,5852,1735,1293,1051,11,4
69,Granito,2318,173,493,806,497,147,109,89,0,4
70,Gravatá,32459,2430,6905,11289,6964,2065,1539,1251,13,3
71,Iati,3849,288,818,1338,825,244,182,148,1,5
72,Ibimirim,6382,477,1357,2219,1369,406,302,246,2,4
73,Ibirajuba,1822,136,387,633,390,115,86,70,0,5
74,Igarassu,45263,3389,9628,15743,9711,2879,2146,1745,18,4
75,Ilha de Itamaracá,10423,780,2217,3625,2236,663,494,401,4,3
76,Inajá,7556,565,1607,2628,1621,480,358,291,3,3
77,Ingazeira,1552,116,330,539,332,98,73,59,0,5
78,Ipojuca,35098,2627,7466,12207,7530,2232,1664,1353,14,5
79,Ipubi,6955,520,1479,2419,1492,442,329,268,2,4
80,Itacuruba,1065,79,226,370,228,67,50,41,0,4
81,Itaíba,11785,882,2507,4099,2528,749,558,454,4,4
82,Itambé,8609,644,1831,2994,1847,547,408,332,3,3
83,Itapetim,3666,274,779,1275,786,233,173,141,1,4
84,Itapissuma,7679,574,1633,2670,1647,488,364,296,3,4
85,Itaquitinga,4355,326,926,1514,934,277,206,167,1,4
86,Jaboatão dos Guararapes,211202,15813,44929,73459,45313,13436,10017,8145,85,5
87,Jaqueira,2599,194,552,903,557,165,123,100,1,4
88,Jataúba,3734,279,794,1298,801,237,177,144,1,3
89,Jatobá,3859,288,820,1342,827,245,183,148,1,5
90,João Alfredo,6028,451,1282,2096,1293,383,285,232,2,4
91,Joaquim Nabuco,2946,220,626,1024,632,187,139,113,1,4
92,Jucati,3346,250,711,1163,717,212,158,129,1,5
93,Jupi,4104,307,873,1427,880,261,194,158,1,3
94,Jurema,2730,204,580,949,585,173,129,105,1,4
95,Lagoa de Itaenga,4806,359,1022,1671,1031,305,227,185,1,5
96,Lagoa do Carro,6132,459,1304,2132,1315,390,290,236,2,4
97,Lagoa do Ouro,3235,242,688,1125,694,205,153,124,1,3
98,Lagoa dos Gatos,2943,220,626,1023,631,187,139,113,1,3
99,Lagoa Grande,7031,526,1495,2445,1508,447,333,271,2,4
100,Lajedo,9647,722,2052,3355,2069,613,457,372,3,4
101,Limoeiro,18075,1353,3845,6286,3878,1149,857,697,7,3
102,Macaparana,5478,410,1165,1905,1175,348,259,211,2,3
103,Machados,2149,160,457,747,461,136,101,82,0,5
104,Manari,5965,446,1268,2074,1279,379,282,230,2,5
105,Maraial,1802,134,383,626,386,114,85,69,0,5
106,Mirandiba,3094,231,658,1076,663,196,146,119,1,4
