UP,Coeficiente de aumento,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos ou mais,Total por cidade
Abreu e Lima,9.01257207503102,6652,5976,5303,4514,3421,2425,2988,34270
Afogados da Ingazeira,8.478163992869876,2204,1864,1849,1464,1272,1037,1550,12793
Afrânio,9.211073023787266,1162,980,871,700,503,501,751,6223
Agrestina,7.25914914702343,1164,1027,893,688,556,504,780,6396
Água Preta,6.195798805164771,1071,969,851,667,543,400,550,5605
Águas Belas,6.358851052768391,1495,1216,1177,955,854,726,1100,8625
Alagoinha,6.945807436484571,605,564,585,448,357,271,529,3893
Aliança,7.171681828784698,1693,1492,1419,1242,983,732,984,9534
Altinho,5.05551510738988,718,660,616,524,412,339,595,4462
Amaraji,6.2166488794023484,807,715,584,495,381,288,397,4068
Angelim,6.324900133155793,423,342,303,303,240,197,347,2506
Araçoiaba,9.367462614568257,1113,977,857,704,513,370,481,5499
Araripina,9.668237141735375,4722,4304,3889,2980,2241,1865,3296,26597
Arcoverde,8.38595839524517,4051,3551,3300,2725,1969,1673,2686,22646
Barra de Guabiraba,7.140679774424631,573,478,412,362,265,190,308,2899
Barreiros,8.078281341965862,2073,1858,1694,1337,1005,710,1065,10811
Belém de Maria,6.701877934272301,451,398,350,315,251,184,311,2575
Belém do São Francisco,7.363198742509087,833,761,661,551,416,342,569,4705
Belo Jardim,7.729468599033816,3838,3434,3189,2657,1979,1554,2519,21691
Betânia,6.294721209666531,436,375,378,260,254,229,396,2728
Bezerros,7.202372289331975,3169,2838,2499,2132,1650,1462,2349,18451
Bodocó,7.812073576769827,1621,1379,1330,1030,845,713,1161,9243
Bom Conselho,6.908581474563235,1953,1653,1552,1286,1103,900,1524,11500
Bom Jardim,6.6806638672265555,1700,1533,1364,1142,939,813,1269,10032
Bonito,7.005271695052717,1696,1529,1386,1106,931,690,1099,9539
Brejão,6.856235565819862,416,322,294,247,181,174,263,2164
Brejinho,8.65,427,412,380,281,235,189,358,2644
Brejo da Madre de Deus,8.58418034923117,2633,2201,1860,1438,1185,975,1539,13373
Buenos Aires,6.991210277214335,550,493,476,400,327,263,327,3169
Buíque,8.020531670008168,2415,2137,1941,1668,1276,1075,1807,14131
Cabo de Santo Agostinho,10.87839966967652,16024,13934,11883,9836,7450,5143,6331,76935
